class,missing_values_count,missing_percentage
等速续航里程(km),4912,100.0
静享舒适包,4911,99.97964169381108
个性化包覆内饰,4911,99.97964169381108
鸥翼豪门套装,4911,99.97964169381108
拖挂套件,4911,99.97964169381108
矩阵大灯,4911,99.97964169381108
装载套件,4911,99.97964169381108
增配亿点选装包,4911,99.97964169381108
超级加倍选装包,4911,99.97964169381108
质选包,4911,99.97964169381108
日出南红好运包,4911,99.97964169381108
海南黄花梨定制典藏套装,4911,99.97964169381108
豪华升舱包1,4911,99.97964169381108
智能选装包,4911,99.97964169381108
豪华升舱包3,4911,99.97964169381108
17英寸铝轮辋,4911,99.97964169381108
5座选装包,4911,99.97964169381108
豪华舒适套件,4911,99.97964169381108
车载无人机套件,4911,99.97964169381108
极岩轮毂套装,4911,99.97964169381108
卫星电话,4911,99.97964169381108
智能尊享包,4911,99.97964169381108
nanoe TM纳米水离子,4911,99.97964169381108
萤光选装包,4911,99.97964169381108
电动拖钩套装,4911,99.97964169381108
极致性能套装,4911,99.97964169381108
Real-Time AWD智能四驱系统 选装包,4911,99.97964169381108
20英寸车轮,4911,99.97964169381108
豪华奢享套装,4911,99.97964169381108
DJI AIR 3S定制车载无人机,4911,99.97964169381108
定制双模式手柄,4911,99.97964169381108
智能机库(含4K高清超广角车顶摄像头),4911,99.97964169381108
户外奇旅探险包,4911,99.97964169381108
竞驰高性能运动轮胎,4911,99.97964169381108
座椅记忆&舒适进入功能包,4911,99.97964169381108
光语科技包,4911,99.97964169381108
智驾套装,4911,99.97964169381108
探境臻选包,4911,99.97964169381108
安心包,4911,99.97964169381108
私享套装,4911,99.97964169381108
华为乾崑智驾ADS 3.0高阶功能包,4911,99.97964169381108
关爱进阶包,4911,99.97964169381108
智能导航套装,4911,99.97964169381108
酷黑运动套件选装包,4911,99.97964169381108
暗色套装,4911,99.97964169381108
20英寸幻影轮毂,4911,99.97964169381108
黑耀双色车身套件,4911,99.97964169381108
四驱选装包,4911,99.97964169381108
NCA城区智驾导航辅助,4911,99.97964169381108
畅心醒神功能（1年498元/3年1298元/永久2298元）,4911,99.97964169381108
驾驶辅助组件增强版,4911,99.97964169381108
长航电池包（100kWh）,4911,99.97964169381108
碳纤维空力套件Ⅲ,4911,99.97964169381108
质享舒适包,4911,99.97964169381108
品牌轮胎包,4911,99.97964169381108
夜色组件,4911,99.97964169381108
科技升级包,4911,99.97964169381108
黑标性能套件,4911,99.97964169381108
飓风哑光灰+V专属红色性能选装包,4911,99.97964169381108
巅峰赛道选装包,4911,99.97964169381108
电动开闭前鹏翼门,4911,99.97964169381108
全旅程智能驾驶辅助系统,4911,99.97964169381108
尊驾包,4911,99.97964169381108
M运动版套装Pro,4911,99.97964169381108
CO2热泵空调系统,4911,99.97964169381108
座椅暖心包,4911,99.97964169381108
向上科技包,4911,99.97964169381108
ICA城区智能巡航辅助,4911,99.97964169381108
选装包六,4911,99.97964169381108
臻享套装,4911,99.97964169381108
高阶智驾硬件平台,4911,99.97964169381108
增强智驾辅助系统,4911,99.97964169381108
双色黑耀套装,4911,99.97964169381108
双色流光音响套装,4911,99.97964169381108
铂金音响系统,4911,99.97964169381108
