series_id,series_name,image,min_price,max_price,count,price,dealer_price
20154,星愿,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/ac8a5ee1d8774df59ccd8aaa375fac7e~tplv-resize:640:0.png?psm=motor.rank.data,6.58,9.58,446119,6.58-9.58万,6.58-9.58万
4499,五菱宏光MINIEV,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/de7a9eb4f0ee44249fd9f8d53837e2d7~tplv-resize:640:0.png?psm=motor.rank.data,3.58,5.28,443981,3.58-5.28万,3.58-5.28万
4363,Model Y,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/cff53a8d66504170af56e38597e0fed9~tplv-resize:640:0.png?psm=motor.rank.data,26.35,31.35,421344,26.35-31.35万,26.35-31.35万
5952,海鸥,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/c9079d51a70f4fcd998ca89ad7badb57~tplv-resize:640:0.png?psm=motor.rank.data,6.08,7.68,341403,6.08-7.68万,6.08-7.68万
6187,小米SU7,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/2e2a77aae04d47f592ec2f01d93780a9~tplv-resize:640:0.png?psm=motor.rank.data,21.59,29.99,272856,21.59-29.99万,21.59-29.99万
4802,秦PLUS DM,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/02771d79bfea4f24bb6fab711346d7c3~tplv-resize:640:0.png?psm=motor.rank.data,6.98,9.98,263989,6.98-9.98万,6.98-9.98万
9796,秦L DM,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/bd39ba753b9c4393b21bd28ad5603bed~tplv-resize:640:0.png?psm=motor.rank.data,8.98,14.38,213166,8.98-14.38万,8.98-14.38万
3762,Model 3,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/9e6adc4048ec4809ba7b004b7d008a2c~tplv-resize:640:0.png?psm=motor.rank.data,23.55,33.95,193438,23.55-33.95万,23.55-33.95万
9689,元UP,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/f3bd2e9744044187b726b05ecccdce42~tplv-resize:640:0.png?psm=motor.rank.data,7.48,10.98,189063,7.48-10.98万,7.48-10.98万
3504,宋Pro DM,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/a43ad8cbf8684f2b93e632546a8343cc~tplv-resize:640:0.png?psm=motor.rank.data,8.98,12.58,187673,8.98-12.58万,8.98-12.58万
9824,海豹06DM,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/95f3af7983e74c418ed01255d3238efa~tplv-resize:640:0.png?psm=motor.rank.data,9.18,12.48,183950,9.18-12.48万,9.18-12.48万
5845,理想L6,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/0cd0f362cc6440b4aff4feed0532f12f~tplv-resize:640:0.png?psm=motor.rank.data,24.98,27.98,181609,24.98-27.98万,24.98-27.98万
10170,小鹏MONA M03,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/0ccd41905bb54e38a0364c8d3d353647~tplv-resize:640:0.png?psm=motor.rank.data,11.98,13.98,178844,11.98-13.98万,11.98-13.98万
5859,长安Lumin,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/5f42a6e07fd54fd8b6a02eb1e44bc218~tplv-resize:640:0.png?psm=motor.rank.data,3.79,6.99,169615,3.79-6.99万,3.79-6.99万
6148,熊猫,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/78ca006700884c30ad75d407f626e606~tplv-resize:640:0.png?psm=motor.rank.data,3.79,4.69,168384,3.79-4.69万,3.79-4.69万
5008,海豚,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/dc616c2ab21c47d9beddc2c940f8828d~tplv-resize:640:0.png?psm=motor.rank.data,7.68,11.58,159582,7.68-11.58万,7.68-11.58万
6266,五菱缤果,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/8a82589d0fbf4119a29b97b77dc96d62~tplv-resize:640:0.png?psm=motor.rank.data,5.18,8.48,158955,5.18-8.48万,5.18-8.48万
5248,元PLUS,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/0a5f95e3492e4cf6b15953b57949fe48~tplv-resize:640:0.png?psm=motor.rank.data,10.38,13.98,151849,10.38-13.98万,10.38-13.98万
20012,宋L DM,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/27daf9eeac3041149bfdb84c778475f9~tplv-resize:640:0.png?psm=motor.rank.data,11.98,15.98,144751,11.98-15.98万,11.98-15.98万
24788,银河星舰7 EM-i,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/3acf1f33d6f640bab58aee8bb4bf4f3c~tplv-resize:640:0.png?psm=motor.rank.data,8.78,12.38,133860,8.78-12.38万,8.78-12.38万
4865,宋PLUS DM,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/7090077c0c97451eb60cc58effa35c74~tplv-resize:640:0.png?psm=motor.rank.data,11.58,16.18,128983,11.58-16.18万,11.58-16.18万
10026,银河E5,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/cc78c9cb168045de9b364f51140dafd5~tplv-resize:640:0.png?psm=motor.rank.data,9.78,17.98,128226,9.78-17.98万,9.78-17.98万
4899,秦PLUS EV,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/bea43ec45387461aa6579a7566a40a51~tplv-resize:640:0.png?psm=motor.rank.data,8.98,16.38,117198,8.98-16.38万,8.98-16.38万
20041,小米YU7,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/d7ff66203a754169bf75cb1f0f713420~tplv-resize:640:0.png?psm=motor.rank.data,25.35,32.99,114584,25.35-32.99万,25.35-32.99万
25137,海豹05DM,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/6df1594168fd4c91a5a246a6371ab175~tplv-resize:640:0.png?psm=motor.rank.data,6.98,9.98,99137,6.98-9.98万,6.98-9.98万
6173,理想L7,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/a783a546a20d4a7c89202df18dc1fee4~tplv-resize:640:0.png?psm=motor.rank.data,30.18,35.98,87724,30.18-35.98万,30.18-35.98万
