厂商,车型,年款,配置名称,官方指导价(万),特色功能,功能内容
长安汽车,长安UNI-V,2025款,第三代 1.5T 500Bar 尊贵型,10.29,静享舒适包,全车双层隔音玻璃+副驾通风加热+主驾座椅记忆+等离子空气净化器+18扬声器杜比全景声 ○选配5999元
长城汽车,蓝山,2025款,四驱智驾Ultra,32.68,个性化包覆内饰,棕米内饰可选装仪表板/门板-个性化包覆内饰 ○选配暂无价格
广汽埃安新能源,昊铂HT,2024款,670 特高压激光雷达版,24.99,鸥翼豪门套装,前门电动门、后门鸥翼门 ○选配60000元
仰望,仰望U8,2024款,越野玩家版,109.8,拖挂套件,拖车钩电源接口+机械式拖车钩 ○选配8000元
一汽-大众,速腾,2026款,L 300TSI DSG豪华型,16.49,矩阵大灯,"IQ.Light灵眸矩阵前大灯, IPA&RPA智能泊车, 360全景可视系统 ○选配暂无价格"
仰望,仰望U8,2024款,越野玩家版,109.8,装载套件,车顶行李框＋侧爬梯＋侧工具平台 ○选配20000元
东风本田,灵悉L,2024款,头号玩家版,12.98,增配亿点选装包,LED车外迎宾灯运动尾翼（黑色）18英寸熏黑铝合金运动轮毂星云蓝/晶耀白车色升级为黑顶双色涂装3幅真皮多功能方向盘（可四向调节）副驾驶席座椅4向电动调节前排座椅加热（与空调智慧联动）前排遮阳板带化妆镜6扬声器音响系统后排座椅中央扶手带杯架（带小桌板）酷雅黑氛围座舱128色智能氛围灯DMS驾驶员状态感知系统FACE ID投影式HUD平视显示系统ACC主动巡航控制系统（带LSF低速跟随功能）TJA交通拥堵辅助系统CMBS碰撞缓解制动系统FCW预碰撞警示系统LKAS车道保持辅助系统RDM车道偏移抑制系统LDW车道偏移预警系统TSR交通标识智能识别系统APS泊车辅助系统MVCS 360°全景影像系统（移动物体识别提醒）透明底盘12个高灵敏度泊车雷达AHB远近光智能切换系统 ○选配26000元
东风本田,灵悉L,2024款,头号玩家版,12.98,超级加倍选装包,LED车外迎宾灯运动尾翼（车身同色）18英寸铝合金运动轮毂3幅真皮多功能方向盘（可四向调节）副驾驶席座椅4向电动调节前排座椅加热前排遮阳板带化妆镜6扬声器音响系统天际蓝氛围座舱128色智能氛围灯DMS驾驶员状态感知系统FACE IDACC主动巡航控制系统（带LSF低速跟随功能）TJA交通拥堵辅助系统CMBS碰撞缓解制动系统FCW预碰撞警示系统LKAS车道保持辅助系统RDM车道偏移抑制系统LDW车道偏移预警系统TSR交通标识智能识别系统APS泊车辅助系统MVCS 360°全景影像系统（移动物体识别提醒）透明底盘12个高灵敏度泊车雷达AHB远近光智能切换系统 ○选配20000元
一汽奔腾,悦意03,2025款,445km 质选版,7.98,质选包,自动大灯、对外放电、6扬声器、后排出风口 ○选配暂无价格
光束汽车,ACEMAN,2024款,ACEMAN SE 艺术家,25.99,日出南红好运包,定制车身饰条、定制手串、定制木鱼、水洗标及车贴和日出南红专属圆屏壁纸 ○选配暂无价格
LEVC,翼真L380,2025款,805km 四驱典藏版,59.99,海南黄花梨定制典藏套装,海南黄花梨定制典藏套装 ●标配
LEVC,翼真L380,2025款,570km 两驱卓越版,29.99,豪华升舱包1,曜石黑豪华Nappa真皮、YAMAHA环绕立体高级音响 ○选配20000元
比亚迪,元UP,2024款,401KM 超越型,11.98,智能选装包,"后排座椅中央头枕,后排中央扶手（带双杯托）,17英寸灵动炫风铝合金轮毂,前排座椅加热,PM2.5绿净™空气质量智能优化系统,高保真扬声器（8个）,抬头显示（W-HUD）,后排未系安全带报警,BSD盲区监测系统,RCW后方碰撞预警,RCTB后方横向碰撞制动,RCTA后方横向碰撞预警,DOW开门预警,FCW前方碰撞预警,IHBC智能远近光灯系统,LDA车道偏离辅助系统,ICC智能领航系统,AEB自动紧急制动系统,智能限速控制,TSR交通标志识别系统,ACC自适应巡航系统 ○选配6000元"
LEVC,翼真L380,2025款,805km 四驱旗舰版,44.99,豪华升舱包3,智能调光天幕，前风挡防紫外线隔热镀银玻璃 ○选配20000元
一汽-大众,宝来,2026款,280TSI DSG舒行版,13.59,17英寸铝轮辋,○选配1000元
奇瑞汽车,风云T8,2025款,1.5T 130km尊享版,15.09,5座选装包,2+3布局（价格-4000） ○选配暂无价格
仰望,仰望U8,2024款,越野玩家版,109.8,豪华舒适套件,后排座椅按摩、后排座椅腰撑4向电动调节、后排电动调节腿托、自然节气主题智能香氛系统、后排USB/Type-C接口 *2、后排50W手机无线充电、7英寸后排中央扶手液晶屏 ○选配30000元
仰望,仰望U8,2024款,越野玩家版,109.8,车载无人机套件,车载无人机+停机舱 ○选配100000元
广汽传祺,传祺向往S7,2025款,115km Pro版,17.58,极岩轮毂套装,20吋极岩轮毂(255/50 R20轮胎) ○选配5999元
仰望,仰望U8,2024款,越野玩家版,109.8,卫星电话,●标配
曹操汽车,曹操60,2023款,60 亚运冠军版,11.98,智能尊享包,"10.25寸中控屏,流量套餐,免费wifi,车机SOTA,热力图,行李遗忘提醒,开门预警 ○选配2000元"
一汽丰田,一汽丰田bZ4X,2022款,四驱高性能Premium版,28.48,nanoe TM纳米水离子,●标配
吉利几何,吉利几何E萤火虫,2024款,401KM 萤光,8.98,萤光选装包,电动天窗+智能驾驶辅助+10.25英寸全液晶仪表 ○选配3000元
smart,smart精灵#5,2024款,丛林之境限量版,36.8,电动拖钩套装,电动拖钩/拖车稳定辅助功能 ○选配7990元
腾势汽车,DM,2025款,尊荣型,38.98,极致性能套装,22英寸多辐星曜轮毂、六活塞前定钳 ○选配20000元
广汽本田,皓影,2025款,锐·混动 2.0L 四驱尊耀版,23.29,Real-Time AWD智能四驱系统 选装包,AWD智能四驱系统 ○选配13000元
智己汽车,智己L7,2024款,MAX 超长续航版,29.99,20英寸车轮,20英寸锋锐撞色运动轮辋、前245/40 R20+后275/35 R20倍耐力P Zero高性能轮胎 ○选配8500元
腾势汽车,DM,2025款,旗舰型,44.98,豪华奢享套装,智能电动门、电动侧踏板 ○选配25000元
腾势汽车,DM,2025款,尊荣型,38.98,DJI AIR 3S定制车载无人机,○选配暂无价格
腾势汽车,DM,2025款,尊荣型,38.98,定制双模式手柄,○选配暂无价格
腾势汽车,DM,2025款,尊荣型,38.98,智能机库(含4K高清超广角车顶摄像头),○选配暂无价格
smart,smart精灵#5,2024款,丛林之境限量版,36.8,户外奇旅探险包,○选配暂无价格 ○选配暂无价格
smart,smart精灵#5,2025款,BRABUS超能版,37.99,竞驰高性能运动轮胎,PILOT SPORT EV 255/40 R21 ○选配暂无价格
一汽-大众,迈腾,2025款,改款二 众享款 330TSI DSG豪华型,20.69,座椅记忆&舒适进入功能包,外后视镜位置记忆+驾驶员座椅记忆及舒适进入功能包 ○选配暂无价格
吉利几何,吉利几何G6,2024款,410KM 豪华型,11.98,光语科技包,全LED大灯+贯穿式位置灯+发光LOGO ○选配2000元
广汽丰田,广汽丰田铂智3X,2025款,610 Max,15.98,智驾套装,高速领航、城市领航、自动泊车 ○选配20000元
